20/07/21 7:17
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	7211	34839	    386225	    411687	   41	
未翻訳：        	7209	34837	    386209	    411671	   41	
繰り返しを除いた：   	4897	27287	    320201	    340571	   41	
繰り返しを除いた未翻訳：	4896	27286	    320193	    340563	   41	


ファイルごとの翻訳状況：

ファイル名                                	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
REST_API/body-authorization.html     	     17	    17	         17	            17	    130	   130	        130	           130	          1475	         1475	              1475	                 1475	          1566	         1566	              1566	                 1566	
REST_API/body-brand-usage.html       	     14	    14	         14	            14	    162	   162	        162	           162	           848	          848	               848	                  848	           981	          981	               981	                  981	
REST_API/body-colors.html            	     87	    87	         66	            66	    149	   149	        128	           128	           933	          933	               787	                  787	           956	          956	               810	                  810	
REST_API/body-comments.html          	    225	   225	        194	           194	    738	   738	        656	           656	         10786	        10786	             10012	                10012	         11172	        11172	             10359	                10359	
REST_API/body-labels.html            	    147	   147	         74	            74	    490	   490	        301	           301	          6551	         6551	              3775	                 3775	          6837	         6837	              3959	                 3959	
REST_API/body-limits.html            	     16	    16	         16	            16	    106	   106	        106	           106	           535	          535	               535	                  535	           624	          624	               624	                  624	
REST_API/body-overview.html          	     25	    24	         24	            23	    285	   284	        284	           283	          1544	         1536	              1533	                 1525	          1796	         1788	              1785	                 1777	
REST_API/body-projects.html          	    228	   228	        146	           146	    791	   791	        565	           565	         10609	        10609	              7841	                 7841	         11109	        11109	              8208	                 8208	
REST_API/body-sections.html          	    151	   151	         85	            85	    518	   518	        368	           368	          7146	         7146	              5228	                 5228	          7450	         7450	              5444	                 5444	
REST_API/body-tasks.html             	    380	   380	        246	           246	   1590	  1590	       1222	          1222	         16737	        16737	             12767	                12767	         17770	        17770	             13584	                13584	
Sync_API/body-activity.html          	    260	   260	        231	           231	   1044	  1044	       1004	          1004	         11682	        11682	             11314	                11314	         12490	        12490	             12107	                12107	
Sync_API/body-authorization.html     	    145	   145	        109	           109	   1117	  1117	       1018	          1018	          8322	         8322	              7624	                 7624	          9243	         9243	              8482	                 8482	
Sync_API/body-backups.html           	     24	    24	         22	            22	    153	   153	        153	           153	          1603	         1603	              1578	                 1578	          1720	         1720	              1695	                 1695	
Sync_API/body-batching-commands.html 	     48	    48	         41	            41	    290	   290	        286	           286	          3520	         3520	              3477	                 3477	          3686	         3686	              3641	                 3641	
Sync_API/body-brand-usage.html       	     17	    17	          3	             3	    164	   164	         23	            23	           879	          879	               147	                  147	          1013	         1013	               168	                  168	
Sync_API/body-business.html          	    158	   158	        107	           107	    826	   826	        691	           691	          9426	         9426	              8115	                 8115	         10029	        10029	              8638	                 8638	
Sync_API/body-changes.html           	     59	    59	         58	            58	   1061	  1061	       1060	          1060	          6866	         6866	              6856	                 6856	          7841	         7841	              7831	                 7831	
Sync_API/body-due-dates.html         	    179	   179	        106	           106	   1268	  1268	        946	           946	         10974	        10974	              7059	                 7059	         11970	        11970	              7818	                 7818	
Sync_API/body-emails.html            	     41	    41	         22	            22	    157	   157	        118	           118	          2193	         2193	              1742	                 1742	          2287	         2287	              1818	                 1818	
Sync_API/body-filters.html           	    133	   133	         54	            54	    613	   613	        364	           364	          6862	         6862	              4985	                 4985	          7280	         7280	              5244	                 5244	
Sync_API/body-getting-started.html   	    701	   701	        622	           622	   3791	  3791	       3331	          3331	         41526	        41526	             37565	                37565	         44596	        44596	             40254	                40254	
Sync_API/body-items.html             	    415	   415	        193	           193	   2452	  2452	       1681	          1681	         24013	        24013	             17954	                17954	         25866	        25866	             19270	                19270	
Sync_API/body-labels.html            	    119	   119	         34	            34	    517	   517	        285	           285	          6190	         6190	              4323	                 4323	          6533	         6533	              4520	                 4520	
Sync_API/body-limits.html            	     20	    20	          5	             5	    186	   186	         97	            97	           917	          917	               446	                  446	          1080	         1080	               536	                  536	
Sync_API/body-live-notifications.html	    417	   417	        332	           332	   1647	  1647	       1356	          1356	         30880	        30880	             28265	                28265	         32048	        32048	             29237	                29237	
Sync_API/body-miscellaneous.html     	    813	   813	        627	           627	   2286	  2286	       1834	          1834	         31667	        31667	             28327	                28327	         33130	        33130	             29514	                29514	
Sync_API/body-notes.html             	    158	   158	         95	            95	    906	   906	        733	           733	          9281	         9281	              7634	                 7634	          9937	         9937	              8182	                 8182	
Sync_API/body-overview.html          	     21	    20	         19	            19	    219	   218	        217	           217	          1254	         1246	              1241	                 1241	          1443	         1435	              1430	                 1430	
Sync_API/body-project-notes.html     	    140	   140	         31	            31	    817	   817	        218	           218	          8559	         8559	              4547	                 4547	          9143	         9143	              4669	                 4669	
Sync_API/body-projects.html          	    212	   212	         75	            75	   1077	  1077	        626	           626	         12716	        12716	              8936	                 8936	         13476	        13476	              9396	                 9396	
Sync_API/body-quick-add-task.html    	     68	    68	         49	            49	    246	   246	        180	           180	          3117	         3117	              2503	                 2503	          3287	         3287	              2626	                 2626	
Sync_API/body-reminders.html         	    196	   196	         77	            77	   1212	  1212	        678	           678	         12838	        12838	              8981	                 8981	         13734	        13734	              9463	                 9463	
Sync_API/body-sections.html          	    203	   203	         91	            91	    780	   780	        536	           536	         10964	        10964	              8308	                 8308	         11459	        11459	              8665	                 8665	
Sync_API/body-sharing.html           	    144	   144	         70	            70	    726	   726	        588	           588	          8469	         8469	              6829	                 6829	          8973	         8973	              7267	                 7267	
Sync_API/body-sync.html              	    252	   252	        219	           219	   1685	  1685	       1621	          1621	         14864	        14864	             14246	                14246	         16325	        16325	             15679	                15679	
Sync_API/body-templates.html         	     32	    32	         28	            28	    247	   247	        237	           237	          3367	         3367	              3090	                 3090	          3523	         3523	              3240	                 3240	
Sync_API/body-uploads.html           	    167	   167	        112	           112	    703	   703	        454	           454	          8149	         8149	              6475	                 6475	          8597	         8597	              6730	                 6730	
Sync_API/body-url-schemes.html       	    125	   125	         84	            84	    763	   763	        672	           672	          4117	         4117	              3477	                 3477	          4692	         4692	              4004	                 4004	
Sync_API/body-user-settings.html     	     45	    45	         20	            20	    184	   184	        114	           114	          2127	         2127	              1486	                 1486	          2250	         2250	              1567	                 1567	
Sync_API/body-user.html              	    507	   507	        381	           381	   2181	  2181	       1687	          1687	         28316	        28316	             24525	                24525	         29939	        29939	             25783	                25783	
Sync_API/body-webhooks.html          	    102	   102	         98	            98	    562	   562	        557	           557	          3403	         3403	              3345	                 3345	          3836	         3836	              3777	                 3777	
